age,current_language,first_language,gender,script,affect,phone_position,file_name,chunk_name,phone_model,file_num
25-39,English,English,Man,wolf ring lights are fantastic,fear,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_49ebd583-20c5-44e0-9bf2-157330f44216.wav,/final/chunk33.wav,s21 ultra,14
40-60,English,English,Man,the thunder break craze,anger,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_162f331c-d751-4a33-acd3-4962acc09152.wav,/final/chunk31.wav,iPhone 12 mini,15
40-60,English,English,Man,the thunder break craze,anger,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_162f331c-d751-4a33-acd3-4962acc09152.wav,/final/chunk40.wav,iPhone 12 mini,16
18-24,English,English,Woman,heavy undersea birthday pumpkins,surprise,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_c864b5b8-74cf-4d7c-8d24-5b46d670306e.wav,/final/chunk10.wav,Iphone,17
18-24,English,English,Woman,heavy undersea birthday pumpkins,surprise,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_c864b5b8-74cf-4d7c-8d24-5b46d670306e.wav,/final/chunk20.wav,Iphone,18
18-24,English,English,Woman,heavy undersea birthday pumpkins,surprise,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_c864b5b8-74cf-4d7c-8d24-5b46d670306e.wav,/final/chunk30.wav,Iphone,19
25-39,English,French,Woman,join the Ear Look club,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_63c48beb-32d9-488a-bd4e-298fa62ee478.wav,/final/chunk30.wav,Samsung,20
25-39,English,French,Woman,join the Ear Look club,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_63c48beb-32d9-488a-bd4e-298fa62ee478.wav,/final/chunk60.wav,Samsung,21
25-39,English,French,Woman,join the Ear Look club,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_63c48beb-32d9-488a-bd4e-298fa62ee478.wav,/final/chunk80.wav,Samsung,22
40-60,English,English,Woman,hungry action hippos fruit,disgust,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_7ad7164e-b4ad-4325-97ea-4d482e7f8532.wav,/final/chunk21.wav,Samsung note 20,23
40-60,English,English,Woman,hungry action hippos fruit,disgust,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_7ad7164e-b4ad-4325-97ea-4d482e7f8532.wav,/final/chunk31.wav,Samsung note 20,24
18-24,English,English,Woman,hungry action hippos fruit,disgust,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_d98d450e-8121-47bf-a543-96a49456af8e.wav,/final/chunk21.wav,iPhone 11,25
18-24,English,English,Woman,hungry action hippos fruit,disgust,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_d98d450e-8121-47bf-a543-96a49456af8e.wav,/final/chunk60.wav,iPhone 11,26
25-39,English,English,Woman,snow meteor down the chimney,joy,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_8703953d-1bb7-422e-9681-06202403e0c0.wav,/final/chunk32.wav,iPhone SE 2020,27
40-60,English,English,Man,banana and mustard sandwiches,disgust,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_7e542f5c-6967-4d04-80e9-00d8610b41ff.wav,/final/chunk31.wav,iPhone 12 mini,28
60 and over,English,English,Woman,another dog secretary show,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_8999bd8f-da9a-4af5-9eb5-af4c69fa079e.wav,/final/chunk40.wav,Iphone 13,29
60 and over,English,English,Woman,another dog secretary show,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_8999bd8f-da9a-4af5-9eb5-af4c69fa079e.wav,/final/chunk60.wav,Iphone 13,30
18-24,English,English,Woman,zebra cats walking on lamps,joy,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_c42f2c06-1775-4b3a-89b2-48c86321c7c4.wav,/final/chunk00.wav,iPhone XR,31
18-24,English,English,Woman,zebra cats walking on lamps,joy,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_c42f2c06-1775-4b3a-89b2-48c86321c7c4.wav,/final/chunk20.wav,iPhone XR,32
18-24,English,English,Woman,zebra cats walking on lamps,joy,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_c42f2c06-1775-4b3a-89b2-48c86321c7c4.wav,/final/chunk30.wav,iPhone XR,33
40-60,English,French,Woman,hungry action hippos fruit,joy,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_297ffa1b-475f-48cc-a16d-345e26a07fa4.wav,/final/chunk00.wav,android,34
40-60,English,French,Woman,hungry action hippos fruit,joy,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_297ffa1b-475f-48cc-a16d-345e26a07fa4.wav,/final/chunk02.wav,android,35
25-39,English,English,Woman,banana and mustard sandwiches,fear,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_31b0a4de-6434-4f0b-a110-47b730d27cfd.wav,/final/chunk11.wav,iPhone,36
18-24,English,Swahili,Man,the thunder break craze,anger,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_816fe7fb-3d72-45f2-bf0a-fa63d615bd81.wav,/final/chunk12.wav,Samsung A52,37
40-60,English,English,Woman,five dollar slaw onion cure,neutral,Place phone 1-2 meters away in a bag 11/19,/media/data/shout-data/shout_data_ed514259-acc6-4624-a16f-fed99ed564f8.wav,/final/chunk30.wav,IPhone,38
40-60,English,English,Woman,five dollar slaw onion cure,neutral,Place phone 1-2 meters away in a bag 11/19,/media/data/shout-data/shout_data_ed514259-acc6-4624-a16f-fed99ed564f8.wav,/final/chunk40.wav,IPhone,39
60 and over,English,English,Man,birds make new jingles,anger,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_e2d2d027-4df0-4e7a-9e1a-7979a7192883.wav,/final/chunk01.wav,Moto e,40
60 and over,English,English,Man,birds make new jingles,anger,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_e2d2d027-4df0-4e7a-9e1a-7979a7192883.wav,/final/chunk61.wav,Moto e,41
25-39,English,Hindi,Woman,five special guest treasures,sadness,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_f6bdaf8b-98c5-4730-be0e-0330a4d778e7.wav,/final/chunk00.wav,iPhone XR,42
25-39,English,Hindi,Woman,five special guest treasures,sadness,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_f6bdaf8b-98c5-4730-be0e-0330a4d778e7.wav,/final/chunk20.wav,iPhone XR,43
25-39,English,English,Woman,hungry action hippos fruit,fear,Place phone on the opposite side of the room face down on a soft surface 14/19,/media/data/shout-data/shout_data_5a390fed-5187-4090-9366-89c5b47388f5.wav,/final/chunk40.wav,iPhone 12,44
40-60,English,English,Woman,snow meteor down the chimney,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_bb6c2a04-4fbb-46f8-8251-a4e2e57e32c2.wav,/final/chunk20.wav,iPhone,45
40-60,English,French,Woman,hungry action hippos fruit,neutral,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_5bd8ca89-c309-4d8c-8e4d-36c2b59081b7.wav,/final/chunk10.wav,android,46
40-60,English,French,Woman,hungry action hippos fruit,neutral,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_5bd8ca89-c309-4d8c-8e4d-36c2b59081b7.wav,/final/chunk11.wav,android,47
40-60,English,French,Woman,hungry action hippos fruit,neutral,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_5bd8ca89-c309-4d8c-8e4d-36c2b59081b7.wav,/final/chunk12.wav,android,48
25-39,Norwegian,Norwegian,Man,join the Ear Look club,surprise,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_3dfcb458-0cb0-41dd-acde-b2e434172bc0.wav,/final/chunk09.wav,One + 8,49
25-39,Russian,Russian,Man,heavy undersea birthday pumpkins,neutral,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_5917cdb7-c961-40f6-9a13-5c91241bd5a2.wav,/final/chunk14.wav,Xiaomi Redmi Note 8T,50
25-39,English,English,Man,five special guest treasures,disgust,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_c07ab8fe-6763-4209-a531-57d5820c161e.wav,/final/chunk30.wav,Samsung Galaxy A32,51
25-39,English,English,Man,five special guest treasures,disgust,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_c07ab8fe-6763-4209-a531-57d5820c161e.wav,/final/chunk60.wav,Samsung Galaxy A32,52
40-60,English,English,Man,another dog secretary show,neutral,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_81072ce1-fc61-4a07-b967-b6610774642d.wav,/final/chunk10.wav,Samsung,53
40-60,English,English,Man,another dog secretary show,neutral,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_81072ce1-fc61-4a07-b967-b6610774642d.wav,/final/chunk20.wav,Samsung,54
60 and over,English,English,Man,the thunder break craze,anger,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_5f329cfb-66df-4f4d-a927-b8a047afd22e.wav,/final/chunk31.wav,Moto e,55
60 and over,English,English,Man,the thunder break craze,anger,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_5f329cfb-66df-4f4d-a927-b8a047afd22e.wav,/final/chunk41.wav,Moto e,56
60 and over,English,English,Man,the thunder break craze,anger,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_5f329cfb-66df-4f4d-a927-b8a047afd22e.wav,/final/chunk51.wav,Moto e,57
40-60,English,Spanish,Man,hungry action hippos fruit,neutral,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_7a7dbed3-1b83-489f-9e79-30ea35081fd7.wav,/final/chunk10.wav,Google pixel,58
40-60,English,Spanish,Man,hungry action hippos fruit,neutral,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_7a7dbed3-1b83-489f-9e79-30ea35081fd7.wav,/final/chunk20.wav,Google pixel,59
40-60,English,Spanish,Man,hungry action hippos fruit,neutral,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_7a7dbed3-1b83-489f-9e79-30ea35081fd7.wav,/final/chunk33.wav,Google pixel,60
25-39,English,Hungarian,Woman,fluffy baseboard yogurt division,surprise,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_66d21c51-f4c6-46e0-a2a0-dcbb55e09541.wav,/final/chunk00.wav,Samsung S8,61
25-39,English,Hungarian,Woman,fluffy baseboard yogurt division,surprise,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_66d21c51-f4c6-46e0-a2a0-dcbb55e09541.wav,/final/chunk01.wav,Samsung S8,62
25-39,English,Hungarian,Woman,fluffy baseboard yogurt division,surprise,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_66d21c51-f4c6-46e0-a2a0-dcbb55e09541.wav,/final/chunk20.wav,Samsung S8,63
18-24,English,Portuguese,Woman,heavy undersea birthday pumpkins,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_c7cc0e8d-2412-40d9-9712-f48a8659671d.wav,/final/chunk01.wav,Galaxy S10,64
18-24,English,Portuguese,Woman,heavy undersea birthday pumpkins,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_c7cc0e8d-2412-40d9-9712-f48a8659671d.wav,/final/chunk11.wav,Galaxy S10,65
18-24,English,Portuguese,Woman,heavy undersea birthday pumpkins,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_c7cc0e8d-2412-40d9-9712-f48a8659671d.wav,/final/chunk31.wav,Galaxy S10,66
18-24,English,English,Woman,fluffy baseboard yogurt division,joy,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_cfe80cbb-a720-4022-a376-8fe654a5bd5f.wav,/final/chunk10.wav,iPhone XR,67
25-39,English,English,Woman,banana and mustard sandwiches,joy,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_fad6cd5b-37c1-4d7a-953d-cb93fbbbaac5.wav,/final/chunk00.wav,One plus 7T,68
25-39,English,English,Woman,banana and mustard sandwiches,joy,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_fad6cd5b-37c1-4d7a-953d-cb93fbbbaac5.wav,/final/chunk11.wav,One plus 7T,69
25-39,English,English,Woman,banana and mustard sandwiches,joy,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_fad6cd5b-37c1-4d7a-953d-cb93fbbbaac5.wav,/final/chunk41.wav,One plus 7T,70
25-39,English,Hindi,Woman,zebra cats walking on lamps,surprise,Place phone on the opposite side of the room face down on a soft surface 14/19,/media/data/shout-data/shout_data_2a59dff7-f0ad-461c-9767-05d760335eff.wav,/final/chunk00.wav,iPhone XR,71
25-39,English,Hindi,Woman,zebra cats walking on lamps,surprise,Place phone on the opposite side of the room face down on a soft surface 14/19,/media/data/shout-data/shout_data_2a59dff7-f0ad-461c-9767-05d760335eff.wav,/final/chunk10.wav,iPhone XR,72
18-24,English,English,Woman,join the Ear Look club,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_73c7cf2a-deb5-4c87-9452-a39a011592e0.wav,/final/chunk10.wav,iPhone XS,73
18-24,English,English,Woman,join the Ear Look club,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_73c7cf2a-deb5-4c87-9452-a39a011592e0.wav,/final/chunk51.wav,iPhone XS,74
40-60,English,English,Man,fluffy baseboard yogurt division,sadness,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_9d349eb2-f0fc-4cd1-941b-373d0c396198.wav,/final/chunk20.wav,Samsung,75
40-60,English,English,Man,fluffy baseboard yogurt division,sadness,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_9d349eb2-f0fc-4cd1-941b-373d0c396198.wav,/final/chunk30.wav,Samsung,76
60 and over,English,English,Woman,fluffy baseboard yogurt division,surprise,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_817d0dcf-e8d6-4c44-a5e1-f5b2a467ec3e.wav,/final/chunk30.wav,iPhone 13,77
25-39,English,Spanish,Man,hungry action hippos fruit,sadness,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_ba611f98-06b2-44cf-b005-12aa89a73668.wav,/final/chunk20.wav,iPhone,78
25-39,English,English,Woman,zebra cats walking on lamps,fear,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_26ff1e06-415b-414a-b492-086da91826e7.wav,/final/chunk10.wav,IPhone 13 Max,79
40-60,English,English,Woman,snow meteor down the chimney,fear,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_ce44c1f8-4033-4a3a-bb9b-af35bbf9d1c5.wav,/final/chunk00.wav,iPhone 7,80
40-60,English,English,Woman,snow meteor down the chimney,fear,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_ce44c1f8-4033-4a3a-bb9b-af35bbf9d1c5.wav,/final/chunk30.wav,iPhone 7,81
25-39,English,English,Woman,wolf ring lights are fantastic,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_47ef8a07-e3b8-48c3-92f5-7854ea4e32ee.wav,/final/chunk21.wav,Iphone,82
25-39,English,English,Woman,wolf ring lights are fantastic,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_47ef8a07-e3b8-48c3-92f5-7854ea4e32ee.wav,/final/chunk31.wav,Iphone,83
18-24,English,Portuguese,Woman,zebra cats walking on lamps,sadness,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_e5231ab4-6830-418f-8e7e-083bcd294503.wav,/final/chunk10.wav,iPhone 11,84
18-24,English,Portuguese,Woman,zebra cats walking on lamps,sadness,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_e5231ab4-6830-418f-8e7e-083bcd294503.wav,/final/chunk50.wav,iPhone 11,85
18-24,English,Portuguese,Woman,zebra cats walking on lamps,sadness,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_e5231ab4-6830-418f-8e7e-083bcd294503.wav,/final/chunk70.wav,iPhone 11,86
25-39,English,English,Man,snow meteor down the chimney,neutral,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_948a80a7-15eb-4b83-b75c-e6d2ceb1440d.wav,/final/chunk11.wav,iPhone 12,87
25-39,English,English,Man,snow meteor down the chimney,neutral,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_948a80a7-15eb-4b83-b75c-e6d2ceb1440d.wav,/final/chunk20.wav,iPhone 12,88
25-39,English,English,Woman,banana and mustard sandwiches,disgust,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_9988a347-14cb-4cbe-a8dd-29ca584fcc23.wav,/final/chunk21.wav,IPhone 13 Max,89
25-39,English,English,Woman,banana and mustard sandwiches,disgust,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_9988a347-14cb-4cbe-a8dd-29ca584fcc23.wav,/final/chunk30.wav,IPhone 13 Max,90
25-39,English,English,Woman,banana and mustard sandwiches,disgust,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_9988a347-14cb-4cbe-a8dd-29ca584fcc23.wav,/final/chunk51.wav,IPhone 13 Max,91
60 and over,English,English,Woman,ripped ocean jumper,sadness,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_dab06789-4048-492d-82fa-fd0fc50cd6e6.wav,/final/chunk11.wav,Samsung Galaxy 8,92
60 and over,English,English,Woman,ripped ocean jumper,sadness,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_dab06789-4048-492d-82fa-fd0fc50cd6e6.wav,/final/chunk13.wav,Samsung Galaxy 8,93
25-39,English,English,Woman,the thunder break craze,disgust,Place phone 1-2 meters away in a bag 11/19,/media/data/shout-data/shout_data_f99d693e-0ece-46c6-9e04-9567263778a5.wav,/final/chunk00.wav,Samsung,94
25-39,English,English,Woman,the thunder break craze,disgust,Place phone 1-2 meters away in a bag 11/19,/media/data/shout-data/shout_data_f99d693e-0ece-46c6-9e04-9567263778a5.wav,/final/chunk51.wav,Samsung,95
25-39,English,English,Woman,the thunder break craze,disgust,Place phone 1-2 meters away in a bag 11/19,/media/data/shout-data/shout_data_f99d693e-0ece-46c6-9e04-9567263778a5.wav,/final/chunk61.wav,Samsung,96
40-60,English,French,Woman,banana and mustard sandwiches,sadness,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_0fa8b085-a883-4aa2-a484-ec92481c08db.wav,/final/chunk00.wav,android,97
25-39,English,English,Woman,five special guest treasures,surprise,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_14ca2a5b-81bf-49fd-9bdc-85f4e0d29711.wav,/final/chunk14.wav,Samsung Galaxy s8+,98
25-39,English,English,Woman,hungry action hippos fruit,sadness,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_fae767fb-6308-4b1e-9818-71730554d3b9.wav,/final/chunk21.wav,iPhone 12,99
25-39,English,English,Woman,hungry action hippos fruit,sadness,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_fae767fb-6308-4b1e-9818-71730554d3b9.wav,/final/chunk31.wav,iPhone 12,100
25-39,English,English,Woman,hungry action hippos fruit,sadness,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_fae767fb-6308-4b1e-9818-71730554d3b9.wav,/final/chunk41.wav,iPhone 12,101
40-60,English,English,Woman,ripped ocean jumper,surprise,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_74be4520-15dd-4a98-a7b1-825420894adc.wav,/final/chunk10.wav,Samsung s9,102
40-60,English,English,Woman,ripped ocean jumper,surprise,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_74be4520-15dd-4a98-a7b1-825420894adc.wav,/final/chunk20.wav,Samsung s9,103
40-60,English,spanish,Woman,five dollar slaw onion cure,surprise,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_022cc478-625c-48a5-a9cd-440b562f44ef.wav,/final/chunk21.wav,iOS,104
40-60,English,spanish,Woman,five dollar slaw onion cure,surprise,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_022cc478-625c-48a5-a9cd-440b562f44ef.wav,/final/chunk31.wav,iOS,105
25-39,English,French,Woman,hungry action hippos fruit,joy,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_733b8275-ed99-48bd-a86a-36e1b720a452.wav,/final/chunk00.wav,Samsung,106
25-39,English,French,Woman,hungry action hippos fruit,joy,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_733b8275-ed99-48bd-a86a-36e1b720a452.wav,/final/chunk30.wav,Samsung,107
25-39,English,French,Woman,hungry action hippos fruit,joy,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_733b8275-ed99-48bd-a86a-36e1b720a452.wav,/final/chunk50.wav,Samsung,108
25-39,Norwegian,Norwegian,Man,birds make new jingles,fear,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_a8f87bb6-a338-48a4-bf66-c1f633735c1b.wav,/final/chunk10.wav,One + 8,109
40-60,English,English,Woman,join the Ear Look club,surprise,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_215ad30d-eb52-4f65-a38f-d485190748e4.wav,/final/chunk00.wav,Android,110
40-60,English,English,Woman,join the Ear Look club,surprise,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_215ad30d-eb52-4f65-a38f-d485190748e4.wav,/final/chunk20.wav,Android,111
40-60,English,English,Woman,join the Ear Look club,surprise,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_215ad30d-eb52-4f65-a38f-d485190748e4.wav,/final/chunk30.wav,Android,112
40-60,English,English,Woman,banana and mustard sandwiches,joy,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_15da260a-4167-4131-86a4-fd3f24d13871.wav,/final/chunk40.wav,I phone7,113
25-39,English,English,Woman,ripped ocean jumper,anger,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_3738bd35-5642-4fb9-abdf-ca5d1fd0ce86.wav,/final/chunk21.wav,iPhone 12,114
40-60,English,Spanish,Man,birds make new jingles,disgust,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_32f6f980-bf34-43a2-8afa-ef5741f1b96e.wav,/final/chunk10.wav,Google pixel,115
40-60,English,Spanish,Man,birds make new jingles,disgust,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_32f6f980-bf34-43a2-8afa-ef5741f1b96e.wav,/final/chunk21.wav,Google pixel,116
40-60,English,English,Woman,the thunder break craze,disgust,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_cf01b958-b2b3-4be6-9e05-f5c8d6fdc439.wav,/final/chunk30.wav,IPhone,117
